Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
92649,2019,1.87,1574.29,287.45,244.18
92649,2020,0.77,1586.39,289.66,246.06
92649,2021,6.67,1692.26,308.99,262.48
92649,2022,19.36,2019.84,368.8,313.29
92649,2023,11.91,2260.39,412.72,350.6
92688,1986,.,100,67.26,55.07
92688,1987,1.38,101.38,68.19,55.83
92688,1988,18.59,120.22,80.86,66.21
92688,1989,29.25,155.38,104.52,85.57
92688,1990,-4.32,148.67,100,81.87
92688,1991,-3.9,142.87,96.1,78.68
92688,1992,-2.3,139.58,93.89,76.87
92688,1993,-6.08,131.1,88.18,72.2
92688,1994,-4.55,125.14,84.17,68.91
92688,1995,-3.28,121.03,81.41,66.65
92688,1996,-0.01,121.02,81.4,66.64
92688,1997,2.24,123.72,83.22,68.13
92688,1998,19.38,147.69,99.34,81.34
92688,1999,10.28,162.88,109.56,89.7
92688,2000,11.49,181.59,122.14,100
92688,2001,10.44,200.55,134.9,110.44
92688,2002,11.89,224.39,150.93,123.57
92688,2003,12.32,252.05,169.53,138.8
92688,2004,23.74,311.88,209.78,171.75
92688,2005,22.61,382.39,257.21,210.58
92688,2006,6.3,406.49,273.42,223.85
92688,2007,-3.92,390.56,262.7,215.08
92688,2008,-13.95,336.07,226.05,185.07
92688,2009,-13.21,291.69,196.2,160.63
92688,2010,-1.74,286.62,192.79,157.84
92688,2011,-5.3,271.42,182.57,149.47
92688,2012,-4.36,259.58,174.6,142.95
92688,2013,13.01,293.35,197.32,161.55
92688,2014,17.62,345.04,232.08,190.01
92688,2015,9.48,377.75,254.08,208.03
92688,2016,2.79,388.28,261.17,213.83
92688,2017,4.27,404.86,272.32,222.96
92688,2018,9.08,441.62,297.05,243.2
92688,2019,-1.24,436.15,293.37,240.19
92688,2020,-0.72,433.03,291.27,238.47
92688,2021,15.48,500.06,336.35,275.38
92688,2022,9.38,546.94,367.89,301.2
92688,2023,18.25,646.78,435.04,356.18
92704,1975,.,100,20.2,18.39
92704,1976,19.58,119.58,24.15,22
92704,1977,24.43,148.8,30.05,27.37
92704,1978,17.01,174.12,35.17,32.03
92704,1979,10.88,193.07,39,35.51
92704,1980,18.27,228.33,46.12,42
92704,1981,13.23,258.53,52.22,47.56
92704,1982,-5.36,244.67,49.42,45.01
92704,1983,8.87,266.38,53.8,49
92704,1984,-2.44,259.89,52.49,47.81
92704,1985,6.45,276.66,55.88,50.89
92704,1986,5.45,291.74,58.93,53.67
92704,1987,9.25,318.72,64.37,58.63
92704,1988,17.86,375.63,75.87,69.1
92704,1989,25.94,473.08,95.55,87.02
92704,1990,4.66,495.1,100,91.07
92704,1991,-0.62,492.01,99.38,90.5
92704,1992,-2.09,481.7,97.29,88.61
92704,1993,-5.61,454.68,91.84,83.64
92704,1994,-5.37,430.28,86.91,79.15
92704,1995,-4.15,412.41,83.3,75.86
92704,1996,-1.83,404.86,81.77,74.47
92704,1997,-0.83,401.48,81.09,73.85
92704,1998,9.84,441,89.07,81.12
92704,1999,7.65,474.72,95.88,87.32
92704,2000,14.52,543.63,109.8,100
92704,2001,11.95,608.62,122.93,111.95
92704,2002,15.36,702.07,141.8,129.15
92704,2003,15.14,808.36,163.27,148.7
92704,2004,27.87,1033.63,208.77,190.14
92704,2005,27.31,1315.91,265.79,242.06
92704,2006,18.25,1556.07,314.3,286.24
92704,2007,-4.84,1480.75,299.08,272.38
92704,2008,-30.79,1024.85,207,188.52
92704,2009,-16.58,854.92,172.68,157.26
92704,2010,3.48,884.65,178.68,162.73
92704,2011,-1.65,870.05,175.73,160.05
92704,2012,1.42,882.38,178.22,162.31
92704,2013,10.09,971.42,196.21,178.69
92704,2014,12.92,1096.93,221.56,201.78
92704,2015,5,1151.83,232.65,211.88
92704,2016,8.22,1246.52,251.77,229.3
92704,2017,8.06,1347.03,272.07,247.79
92704,2018,5.01,1414.47,285.69,260.19
92704,2019,4.12,1472.78,297.47,270.92
92704,2020,3.88,1529.94,309.02,281.43
92704,2021,9.94,1681.98,339.73,309.4
92704,2022,15.16,1936.99,391.23,356.31
92704,2023,4.36,2021.44,408.29,371.84
92801,1976,.,100,23.84,21.78
92801,1977,28.09,128.09,30.54,27.9
92801,1978,13.77,145.73,34.74,31.74
92801,1979,17.77,171.62,40.92,37.38
92801,1980,10.46,189.57,45.19,41.29
92801,1981,14.37,216.8,51.69,47.22
92801,1982,-11.43,192.03,45.78,41.83
92801,1983,17.74,226.09,53.9,49.25
92801,1984,7.79,243.7,58.1,53.08
92801,1985,0.95,246.01,58.65,53.58
92801,1986,6.17,261.19,62.27,56.89
92801,1987,6.74,278.8,66.47,60.73
92801,1988,18.2,329.55,78.57,71.78
92801,1989,23.42,406.72,96.96,88.59
92801,1990,3.13,419.45,100,91.36
92801,1991,-2.49,409,97.51,89.08
92801,1992,-0.12,408.5,97.39,88.98
92801,1993,-6.23,383.04,91.32,83.43
92801,1994,-4.15,367.14,87.53,79.97
92801,1995,-5.45,347.15,82.76,75.61
92801,1996,0.75,349.76,83.38,76.18
92801,1997,1.91,356.45,84.98,77.64
92801,1998,6.13,378.3,90.19,82.4
92801,1999,6.06,401.24,95.66,87.39
92801,2000,14.42,459.11,109.45,100
92801,2001,10.35,506.61,120.78,110.35
92801,2002,13.74,576.21,137.37,125.51
92801,2003,15.7,666.65,158.93,145.2
92801,2004,28.18,854.52,203.72,186.12
92801,2005,24.84,1066.78,254.33,232.36
92801,2006,18.67,1265.98,301.82,275.74
92801,2007,-5.73,1193.48,284.53,259.95
92801,2008,-26.71,874.65,208.52,190.51
92801,2009,-17.8,718.92,171.39,156.59
92801,2010,4.07,748.16,178.37,162.96
92801,2011,-3.26,723.75,172.55,157.64
92801,2012,-1.33,714.13,170.25,155.54
92801,2013,12.28,801.8,191.15,174.64
92801,2014,15.69,927.61,221.15,202.04
92801,2015,4.08,965.48,230.18,210.29
92801,2016,8.08,1043.45,248.76,227.28
92801,2017,7.16,1118.21,266.59,243.56
92801,2018,6.54,1191.39,284.03,259.5
92801,2019,2.08,1216.15,289.94,264.89
92801,2020,5.26,1280.13,305.19,278.83
92801,2021,11.58,1428.34,340.52,311.11
92801,2022,16.56,1664.92,396.93,362.64
92801,2023,5.71,1760.07,419.61,383.36
92802,1977,.,100,31.46,29.38
92802,1978,16.41,116.41,36.62,34.2
92802,1979,10.95,129.16,40.64,37.94
92802,1980,28.05,165.39,52.03,48.59
92802,1981,35.88,224.73,70.71,66.02
92802,1982,-32.4,151.92,47.8,44.63
92802,1983,18.83,180.53,56.8,53.03
92802,1984,3.19,186.29,58.61,54.73
92802,1985,1.85,189.73,59.69,55.74
92802,1986,4.52,198.31,62.39,58.26
92802,1987,6.96,212.11,66.73,62.31
92802,1988,18.74,251.86,79.24,73.99
92802,1989,21.71,306.54,96.44,90.05
92802,1990,3.69,317.84,100,93.37
92802,1991,-0.97,314.76,99.03,92.47
92802,1992,-1.52,309.96,97.52,91.06
92802,1993,-6.56,289.64,91.13,85.09
92802,1994,-4.49,276.63,87.03,81.26
92802,1995,-6.16,259.59,81.67,76.26
92802,1996,-1.92,254.62,80.11,74.8
92802,1997,2.17,260.14,81.85,76.42
92802,1998,8.55,282.4,88.85,82.96
92802,1999,9.04,307.94,96.88,90.46
92802,2000,10.54,340.4,107.1,100
92802,2001,11.69,380.21,119.62,111.69
92802,2002,14.57,435.61,137.05,127.97
92802,2003,13.86,496,156.05,145.71
92802,2004,25.24,621.17,195.43,182.48
92802,2005,25.19,777.64,244.66,228.45
92802,2006,15.43,897.66,282.42,263.7
92802,2007,-2.38,876.31,275.7,257.43
92802,2008,-25.93,649.08,204.21,190.68
92802,2009,-14.09,557.62,175.44,163.81
92802,2010,1.7,567.09,178.42,166.59
92802,2011,-4,544.4,171.28,159.93
92802,2012,-0.88,539.59,169.77,158.51
92802,2013,10.85,598.12,188.18,175.71
92802,2014,15.45,690.51,217.25,202.85
92802,2015,5.66,729.62,229.55,214.34
92802,2016,8.93,794.78,250.05,233.48
92802,2017,6.23,844.25,265.62,248.02
92802,2018,4.02,878.22,276.31,257.99
92802,2019,5.38,925.45,291.17,271.87
92802,2020,3.32,956.21,300.84,280.9
92802,2021,9.99,1051.75,330.9,308.97
92802,2022,15,1209.56,380.55,355.33
92802,2023,6.25,1285.11,404.32,377.52
92804,1976,.,100,24.72,22.88
92804,1977,22.91,122.91,30.38,28.12
92804,1978,14.96,141.3,34.93,32.33
92804,1979,14.62,161.97,40.04,37.05
92804,1980,11.93,181.29,44.82,41.47
92804,1981,15.63,209.62,51.82,47.96
92804,1982,-7.58,193.73,47.89,44.32
92804,1983,11,215.04,53.16,49.2
92804,1984,2.07,219.5,54.26,50.22
92804,1985,2.14,224.2,55.42,51.29
92804,1986,7.67,241.39,59.67,55.22
92804,1987,9.72,264.86,65.48,60.59
92804,1988,18.51,313.89,77.6,71.81
92804,1989,24.04,389.35,96.25,89.07
92804,1990,3.9,404.52,100,92.54
92804,1991,-2.42,394.73,97.58,90.31
92804,1992,-1.54,388.67,96.08,88.92
92804,1993,-4.62,370.73,91.65,84.81
92804,1994,-4.2,355.17,87.8,81.25
92804,1995,-5.92,334.14,82.6,76.44
92804,1996,-1.43,329.36,81.42,75.35
92804,1997,2.01,335.97,83.05,76.86
92804,1998,7.39,360.8,89.19,82.54
92804,1999,7.64,388.35,96,88.85
92804,2000,12.56,437.11,108.06,100
92804,2001,11.08,485.53,120.03,111.08
92804,2002,15.45,560.55,138.57,128.24
92804,2003,13.44,635.89,157.2,145.48
92804,2004,26.61,805.08,199.02,184.18
92804,2005,27.39,1025.59,253.53,234.63
92804,2006,12.98,1158.72,286.45,265.09
92804,2007,-4.13,1110.89,274.62,254.14
92804,2008,-25.58,826.7,204.37,189.13
92804,2009,-14.62,705.85,174.49,161.48
92804,2010,2.46,723.18,178.78,165.45
92804,2011,-3.97,694.5,171.69,158.89
92804,2012,0.37,697.08,172.32,159.47
92804,2013,12.52,784.32,193.89,179.43
92804,2014,14.13,895.16,221.29,204.79
92804,2015,4.22,932.95,230.63,213.43
92804,2016,8.16,1009.03,249.44,230.84
92804,2017,6.38,1073.41,265.36,245.57
92804,2018,6.53,1143.5,282.68,261.6
92804,2019,2.78,1175.3,290.54,268.88
92804,2020,3.64,1218.06,301.11,278.66
92804,2021,12.35,1368.54,338.31,313.09
92804,2022,13.8,1557.43,385.01,356.3
92804,2023,6.04,1651.54,408.27,377.83
92805,1976,.,100,24,21.84
92805,1977,27.48,127.48,30.59,27.84
92805,1978,15.37,147.07,35.29,32.12
92805,1979,13.74,167.28,40.14,36.54
92805,1980,12.01,187.37,44.96,40.93
92805,1981,13.76,213.15,51.15,46.56
92805,1982,-1.87,209.17,50.19,45.69
92805,1983,7.07,223.95,53.74,48.91
92805,1984,1.23,226.69,54.4,49.51
92805,1985,5.62,239.43,57.46,52.3
92805,1986,5,251.41,60.33,54.91
92805,1987,9.03,274.11,65.78,59.87
92805,1988,20.81,331.16,79.47,72.33
92805,1989,21.1,401.05,96.24,87.6
92805,1990,3.91,416.72,100,91.02
92805,1991,-0.49,414.7,99.51,90.58
92805,1992,-2.92,402.59,96.61,87.93
92805,1993,-4.66,383.83,92.11,83.84
92805,1994,-4.7,365.81,87.78,79.9
92805,1995,-5.35,346.25,83.09,75.63
92805,1996,1.64,351.91,84.45,76.86
92805,1997,-0.59,349.84,83.95,76.41
92805,1998,8.96,381.17,91.47,83.25
92805,1999,7.67,410.41,98.49,89.64
92805,2000,11.56,457.84,109.87,100
92805,2001,10.05,503.84,120.91,110.05
92805,2002,14.95,579.18,138.99,126.5
92805,2003,15.44,668.61,160.45,146.04
92805,2004,26.69,847.03,203.26,185.01
92805,2005,26.87,1074.65,257.88,234.72
92805,2006,15.34,1239.45,297.43,270.72
92805,2007,-4.16,1187.94,285.07,259.47
92805,2008,-26,879.03,210.94,192
92805,2009,-18.47,716.67,171.98,156.53
92805,2010,4.91,751.84,180.42,164.22
92805,2011,-5.69,709.07,170.16,154.87
92805,2012,0.44,712.17,170.9,155.55
92805,2013,12.79,803.25,192.76,175.44
92805,2014,15.46,927.44,222.56,202.57
92805,2015,4.98,973.59,233.63,212.65
92805,2016,7.45,1046.09,251.03,228.48
92805,2017,7.32,1122.66,269.4,245.21
92805,2018,6.64,1197.21,287.29,261.49
92805,2019,2.61,1228.45,294.79,268.32
92805,2020,4,1277.62,306.59,279.05
92805,2021,12.01,1431.12,343.42,312.58
92805,2022,14.86,1643.8,394.46,359.04
92805,2023,5.32,1731.31,415.46,378.15
92806,1975,.,100,21.58,20.22
92806,1976,18.62,118.62,25.6,23.98
92806,1977,26.02,149.48,32.26,30.22
92806,1978,13.16,169.15,36.5,34.2
92806,1979,11.62,188.81,40.74,38.17
92806,1980,20.17,226.88,48.96,45.87
92806,1981,15.9,262.94,56.74,53.16
92806,1982,-13,228.75,49.36,46.25
92806,1983,13.72,260.14,56.14,52.6
92806,1984,0.99,262.72,56.69,53.12
92806,1985,3.17,271.06,58.49,54.8
92806,1986,4.41,283.02,61.07,57.22
92806,1987,7.73,304.88,65.79,61.64
92806,1988,18.66,361.77,78.07,73.14
92806,1989,25.41,453.69,97.9,91.73
92806,1990,2.14,463.41,100,93.69
92806,1991,-3.38,447.73,96.62,90.52
92806,1992,-1.6,440.58,95.07,89.08
92806,1993,-5.71,415.43,89.65,83.99
92806,1994,-4.53,396.61,85.58,80.19
92806,1995,-4.52,378.69,81.72,76.56
92806,1996,-0.14,378.16,81.6,76.46
92806,1997,1.29,383.02,82.65,77.44
92806,1998,7.68,412.46,89,83.39
92806,1999,7.17,442.03,95.39,89.37
92806,2000,11.89,494.61,106.73,100
92806,2001,10.51,546.58,117.95,110.51
92806,2002,15.13,629.29,135.79,127.23
92806,2003,11.5,701.68,151.42,141.87
92806,2004,26.7,889.05,191.85,179.75
92806,2005,25.87,1119.03,241.47,226.24
92806,2006,11.37,1246.22,268.92,251.96
92806,2007,-3.01,1208.74,260.83,244.38
92806,2008,-22.5,936.8,202.15,189.4
92806,2009,-15.02,796.07,171.79,160.95
92806,2010,1.47,807.78,174.31,163.32
92806,2011,-4.26,773.41,166.89,156.37
92806,2012,-1.03,765.44,165.17,154.76
92806,2013,12.48,860.95,185.78,174.07
92806,2014,13.23,974.86,210.36,197.1
92806,2015,4.98,1023.41,220.84,206.91
92806,2016,7.76,1102.79,237.97,222.96
92806,2017,5.26,1160.75,250.48,234.68
92806,2018,5.35,1222.82,263.87,247.23
92806,2019,3.44,1264.9,272.95,255.74
92806,2020,3.15,1304.79,281.56,263.8
92806,2021,12.39,1466.45,316.45,296.49
92806,2022,11.61,1636.68,353.18,330.9
92806,2023,9.12,1786,385.4,361.09
92807,1975,.,100,21.25,19.33
92807,1976,18.85,118.85,25.25,22.97
92807,1977,22.8,145.95,31.01,28.2
92807,1978,19.68,174.67,37.12,33.76
92807,1979,11.89,195.45,41.53,37.77
92807,1980,18.91,232.41,49.39,44.91
92807,1981,8.63,252.47,53.65,48.79
92807,1982,-8.35,231.39,49.17,44.72
92807,1983,14.33,264.55,56.22,51.13
92807,1984,1.21,267.75,56.89,51.74
92807,1985,3.37,276.79,58.81,53.49
92807,1986,4.28,288.64,61.33,55.78
92807,1987,8.92,314.4,66.81,60.76
92807,1988,16.13,365.11,77.58,70.56
92807,1989,26.02,460.1,97.77,88.92
92807,1990,2.28,470.61,100,90.95
92807,1991,-3.34,454.88,96.66,87.91
92807,1992,-1.56,447.8,95.15,86.54
92807,1993,-6.85,417.12,88.63,80.61
92807,1994,-4.98,396.34,84.22,76.59
92807,1995,-2.44,386.67,82.16,74.72
92807,1996,-0.44,384.96,81.8,74.39
92807,1997,1.62,391.18,83.12,75.6
92807,1998,9.47,428.21,90.99,82.75
92807,1999,7.78,461.54,98.07,89.19
92807,2000,12.11,517.46,109.95,100
92807,2001,8.39,560.86,119.18,108.39
92807,2002,13.54,636.78,135.31,123.06
92807,2003,10.64,704.52,149.7,136.15
92807,2004,22.28,861.51,183.06,166.49
92807,2005,27.65,1099.73,233.68,212.53
92807,2006,7.82,1185.75,251.96,229.15
92807,2007,-4.7,1130.02,240.12,218.38
92807,2008,-16.79,940.25,199.8,181.71
92807,2009,-9.89,847.26,180.04,163.74
92807,2010,0.79,853.93,181.45,165.02
92807,2011,-5.08,810.58,172.24,156.65
92807,2012,-0.51,806.49,171.37,155.86
92807,2013,12.54,907.59,192.86,175.4
92807,2014,12.43,1020.42,216.83,197.2
92807,2015,3.35,1054.58,224.09,203.8
92807,2016,6.72,1125.42,239.14,217.49
92807,2017,4.42,1175.18,249.71,227.11
92807,2018,4.61,1229.34,261.22,237.57
92807,2019,2.2,1256.44,266.98,242.81
92807,2020,2.64,1289.57,274.02,249.21
92807,2021,10.86,1429.61,303.78,276.28
